Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA
The Emperor's New Groove,78,Animation; Adventure; Comedy,Mark Dindal,Chris Williams; Mark Dindal,David Spade; John Goodman; Eartha Kitt,70/100,7.3,"67,130","$100,000,000 ","$89,296,573 ",,G
Battle Royale,114,Adventure; Drama; Thriller,Kinji Fukasaku,Koushun Takami; Kenta Fukasaku,Tatsuya Fujiwara; Aki Maeda; Tar Yamamoto,81/100,7.8,"93,982","$4,500,000 ",,,
Chocolat,121,Drama; Romance,Lasse Hallstrm,Joanne Harris; Robert Nelson Jacobs,Juliette Binoche; Judi Dench; Alfred Molina,64/100,7.3,"101,170","$25,000,000 ","$71,309,760 ","$152,699,946 ",PG-13
Meet the Parents,108,Comedy; Romance,Jay Roach,Greg Glienna; Mary Ruth Clarke,Ben Stiller; Robert De Niro; Teri Polo,73/100,7,"170,257","$55,000,000 ","$166,244,045 ","$330,444,045 ",PG-13
"Crouching Tiger, Hidden Dragon",120,Action; Adventure; Drama,Ang Lee,Du Lu Wang; Hui-Ling Wang,Yun-Fat Chow; Michelle Yeoh; Ziyi Zhang,93/100,7.9,"163,406","$15,000,000 ","$128,067,808 ",,PG-13
Charlie's Angels,98,Action; Adventure; Comedy,McG,Ryan Rowe; Ed Solomon,Cameron Diaz; Drew Barrymore; Lucy Liu,52/100,5.5,"101,912","$92,000,000 ","$125,305,545 ","$264,105,545 ",PG-13
Amores Perros,154,Drama; Thriller,Alejandro Gonzlez Irritu,Guillermo Arriaga,Emilio Echevarra; Gael Garca Bernal; Goya Toledo,83/100,8.1,"108,494","$2,000,000 ","$5,383,834 ",,R
Final Destination,98,Horror,James Wong,Glen Morgan; James Wong,Devon Sawa; Ali Larter; Kerr Smith,36/100,6.7,"113,309","$23,000,000 ","$53,302,314 ",,R
Miss Congeniality,109,Action; Comedy; Crime,Donald Petrie,Marc Lawrence; Katie Ford,Sandra Bullock; Michael Caine; Benjamin Bratt,43/100,6,"80,900","$45,000,000 ","$106,807,667 ","$212,742,720 ",PG-13
High Fidelity,113,Comedy; Drama; Music,Stephen Frears,Nick Hornby; D.V. DeVincentis,John Cusack; Iben Hjejle; Todd Louiso,79/100,7.6,"102,347","$20,000,000 ","$27,277,055 ",,R
"Me, Myself &amp; Irene",116,Comedy,Bobby Farrelly,Peter Farrelly; Mike Cerrone,Jim Carrey; Rene Zellweger; Anthony Anderson,49/100,6.4,"123,381","$51,000,000 ","$90,567,722 ",,R
In the Mood for Love,98,Drama; Romance,Kar Wai Wong,Kar Wai Wong,Tony Leung Chiu Wai; Maggie Cheung; Ping Lam Siu,85/100,8,"43,791",,"$2,734,044 ",,PG
Erin Brockovich,131,Biography; Drama,Steven Soderbergh,Susannah Grant,Julia Roberts; Albert Finney; David Brisbin,73/100,7.2,"90,498","$52,000,000 ","$125,548,685 ","$256,271,286 ",R
What Women Want,127,Comedy; Fantasy; Romance,Nancy Meyers,Josh Goldsmith; Cathy Yuspa,Mel Gibson; Helen Hunt; Marisa Tomei,47/100,6.3,"105,165","$70,000,000 ","$182,805,123 ","$374,111,707 ",PG-13
Billy Elliot,110,Comedy; Drama; Music,Stephen Daldry,Lee Hall,Jamie Bell; Julie Walters; Jean Heywood,74/100,7.6,"66,882","$5,000,000 ","$21,994,911 ","$109,280,263 ",PG-13
Pay It Forward,123,Drama,Mimi Leder,Catherine Ryan Hyde; Leslie Dixon,Kevin Spacey; Haley Joel Osment; Helen Hunt,40/100,6.9,"65,811","$40,000,000 ","$33,508,922 ",,PG-13
The Perfect Storm,130,Action; Adventure; Drama,Wolfgang Petersen,Sebastian Junger; William D. Wittliff,George Clooney; Mark Wahlberg; Diane Lane,59/100,6.3,"94,252","$140,000,000 ","$182,618,434 ","$143,138,203 ",PG-13
Men of Honor,129,Biography; Drama,George Tillman Jr.,Scott Marshall Smith,Cuba Gooding Jr.; Robert De Niro; Charlize Theron,56/100,6.9,"59,481","$32,000,000 ","$48,814,909 ",,R
Dracula 2000,99,Horror; Thriller,Patrick Lussier,Joel Soisson; Patrick Lussier,Gerard Butler; Justine Waddell; Jonny Lee Miller,26/100,4.7,"20,565","$54,000,000 ","$33,000,377 ","$47,053,625 ",R
"Dude, Where's My Car?",83,Comedy; Mystery; Sci-Fi,Danny Leiner,Philip Stark,Ashton Kutcher; Seann William Scott; Jennifer Garner,30/100,5.3,"81,050","$13,000,000 ","$46,729,374 ",,PG-13
Little Nicky,90,Comedy; Fantasy,Steven Brill,Tim Herlihy; Adam Sandler,Adam Sandler; Patricia Arquette; Harvey Keitel,38/100,5.1,"56,239","$80,000,000 ","$39,442,871 ",,PG-13
Chicken Run,84,Animation; Family; Comedy,Peter Lord,Peter Lord; Nick Park,Mel Gibson; Julia Sawalha; Phil Daniels,88/100,7.1,"87,267","$42,000,000 ","$106,793,915 ",,G
The Gift,111,Crime; Drama; Fantasy,Sam Raimi,Billy Bob Thornton; Tom Epperson,Cate Blanchett; Katie Holmes; Keanu Reeves,62/100,6.6,"38,140","$10,000,000 ","$11,994,719 ","$44,567,606 ",R
U-571,116,Action; Drama; Thriller,Jonathan Mostow,Jonathan Mostow; Jonathan Mostow,Matthew McConaughey; Bill Paxton; Harvey Keitel,62/100,6.5,"47,788","$62,000,000 ","$77,086,030 ","$127,666,415 ",PG-13
The Replacements,118,Comedy; Sport,Howard Deutch,Vince McKewin,Keanu Reeves; Gene Hackman; Brooke Langton,30/100,6.3,"33,436","$50,000,000 ","$44,737,059 ","$50,054,511 ",PG-13
Bedazzled,93,Comedy; Fantasy,Harold Ramis,Peter Cook; Peter Cook,Brendan Fraser; Elizabeth Hurley; Frances O'Connor,49/100,5.8,"56,786","$48,000,000 ","$37,879,996 ","$90,383,208 ",PG-13
The Cell,107,Sci-Fi; Thriller,Tarsem Singh,Mark Protosevich,Jennifer Lopez; Vince Vaughn; Vincent D'Onofrio,40/100,6.2,"57,904","$33,000,000 ","$61,280,963 ","$42,821,784 ",R
Dinosaur,82,Animation; Adventure; Family,Eric Leighton,Thom Enriquez; John Harrison,D.B. Sweeney; Julianna Margulies; Samuel E. Wright,56/100,6.3,"24,049","$127,500,000 ","$137,748,063 ","$354,248,063 ",PG
The Whole Nine Yards,98,Comedy; Crime,Jonathan Lynn,Mitchell Kapner,Bruce Willis; Matthew Perry; Rosanna Arquette,47/100,6.7,"66,354","$24,000,000 ","$57,262,492 ",,R
Vertical Limit,124,Action; Adventure; Thriller,Martin Campbell,Robert King; Robert King,Scott Glenn; Chris O'Donnell; Bill Paxton,48/100,5.7,"36,394","$75,000,000 ","$68,473,360 ",,PG-13
Sexy Beast,89,Crime; Drama,Jonathan Glazer,Louis Mellis; David Scinto,Ray Winstone; Ben Kingsley; Ian McShane,79/100,7.1,"29,466",,"$6,946,056 ","$3,099,621 ",R
Next Friday,98,Comedy,Steve Carr,Ice Cube; DJ Pooh,Ice Cube; Mike Epps; Justin Pierce,41/100,5.6,"16,081","$9,500,000 ","$57,176,582 ",,R
What Lies Beneath,130,Drama; Horror; Mystery,Robert Zemeckis,Clark Gregg; Sarah Kernochan,Harrison Ford; Michelle Pfeiffer; Katharine Towne,51/100,6.5,"71,258","$90,000,000 ","$155,370,362 ","$94,002,283 ",PG-13
Best in Show,90,Comedy,Christopher Guest,Christopher Guest; Eugene Levy,Fred Willard; Eugene Levy; Catherine O'Hara,78/100,7.4,"34,673","$6,000,000 ","$18,621,249 ",,PG-13
Hollow Man,112,Action; Sci-Fi; Thriller,Paul Verhoeven,Gary Scott Thompson; Andrew W. Marlowe,Kevin Bacon; Elisabeth Shue; Josh Brolin,24/100,5.6,"73,794","$95,000,000 ","$73,209,340 ","$191,200,000 ",R
Titan A.E.,94,Animation; Action; Adventure,Don Bluth,Hans Bauer; Randall McCormick,Matt Damon; Drew Barrymore; Bill Pullman,48/100,6.5,"38,065","$75,000,000 ","$22,751,979 ","$36,755,000 ",PG
Frequency,118,Crime; Drama; Sci-Fi,Gregory Hoblit,Toby Emmerich,Dennis Quaid; Jim Caviezel; Shawn Doyle,67/100,7.2,"57,523","$22,000,000 ","$44,983,704 ","$68,106,245 ",PG-13
Boys and Girls,94,Comedy; Romance; Drama,Robert Iscove,Andrew Lowery; Andrew Miller,Freddie Prinze Jr.; Claire Forlani; Brendon Ryan Barrett,29/100,5,"10,052","$16,000,000 ","$20,627,372 ","$4,050,963 ",PG-13
Boiler Room,120,Thriller; Drama; Crime,Ben Younger,Ben Younger,Giovanni Ribisi; Vin Diesel; Nia Long,63/100,6.9,"30,235","$8,000,000 ","$16,938,179 ",,R
The Road to El Dorado,89,Animation; Adventure; Comedy,Bibo Bergeron,Terry Rossio; Ted Elliott,Kevin Kline; Kenneth Branagh; Rosie Perez,51/100,6.6,"27,972","$95,000,000 ","$50,802,661 ",,PG
Return to Me,115,Drama; Romance,Bonnie Hunt,Bonnie Hunt; Don Lake,David Duchovny; Minnie Driver; Carroll O'Connor,54/100,6.6,"12,601","$24,000,000 ","$32,662,299 ",,PG
Finding Forrester,136,Drama,Gus Van Sant,Mike Rich,Sean Connery; Rob Brown; F. Murray Abraham,62/100,7.2,"55,877","$43,000,000 ","$51,768,623 ",,PG-13
28 Days,103,Comedy; Drama,Betty Thomas,Susannah Grant,Sandra Bullock; Viggo Mortensen; Dominic West,46/100,5.8,"24,419","$43,000,000 ","$37,035,515 ","$62,198,945 ",PG-13
Shanghai Noon,110,Action; Adventure; Comedy,Tom Dey,Miles Millar; Alfred Gough,Jackie Chan; Owen Wilson; Lucy Liu,77/100,6.5,"62,826","$55,000,000 ","$56,932,305 ","$99,274,467 ",PG-13
Dancer in the Dark,140,Crime; Drama; Musical,Lars von Trier,Lars von Trier,Bjrk; Catherine Deneuve; David Morse,61/100,7.8,"54,188","$12,800,000 ","$4,184,036 ","$40,031,879 ",R
Shaft,99,Action; Crime; Thriller,John Singleton,Ernest Tidyman; John Singleton,Samuel L. Jackson; Vanessa Williams; Christian Bale,50/100,5.8,"44,116","$46,000,000 ","$70,334,258 ","$107,196,498 ",R
Love &amp; Basketball,124,Drama; Romance; Sport,Gina Prince-Bythewood,Gina Prince-Bythewood,Sanaa Lathan; Omar Epps; Glenndon Chatman,70/100,6.8,"8,758","$15,000,000 ","$27,441,122 ",,PG-13
Space Cowboys,130,Action; Adventure; Thriller,Clint Eastwood,Ken Kaufman; Howard Klausner,Clint Eastwood; Tommy Lee Jones; Donald Sutherland,73/100,6.3,"42,597","$65,000,000 ","$90,454,043 ",,PG-13
The Family Man,125,Comedy; Drama; Romance,Brett Ratner,David Diamond; David Weissman,Nicolas Cage; Ta Leoni; Don Cheadle,42/100,6.6,"60,815","$60,000,000 ","$75,764,085 ",,PG-13
The 6th Day,123,Action; Sci-Fi; Thriller,Roger Spottiswoode,Cormac Wibberley; Marianne Wibberley,Arnold Schwarzenegger; Michael Rapaport; Tony Goldwyn,49/100,5.8,"69,411","$82,000,000 ","$34,543,701 ","$96,085,477 ",PG-13
Scream 3,116,Horror; Mystery,Wes Craven,Kevin Williamson; Ehren Kruger,David Arquette; Neve Campbell; Courteney Cox,56/100,5.4,"66,105","$40,000,000 ","$89,138,076 ","$72,691,101 ",R
Romeo Must Die,115,Action; Crime; Thriller,Andrzej Bartkowiak,Mitchell Kapner; Eric Bernt,Jet Li; Aaliyah; Isaiah Washington,52/100,5.9,"41,166","$25,000,000 ","$55,973,336 ",,R
The Legend of Bagger Vance,126,Drama; Fantasy; Sport,Robert Redford,Steven Pressfield; Jeremy Leven,Will Smith; Matt Damon; Charlize Theron,47/100,6.5,"32,378","$60,000,000 ","$30,695,227 ",,PG-13
Thirteen Days,145,Drama; History; Thriller,Roger Donaldson,David Self; Ernest R. May,Kevin Costner; Bruce Greenwood; Shawn Driscoll,67/100,7.2,"33,199","$80,000,000 ","$34,566,746 ",,PG-13
Center Stage,115,Drama; Music,Nicholas Hytner,Carol Heikkinen,Amanda Schull; Ethan Stiefel; Sascha Radetsky,52/100,6.3,"11,242","$18,000,000 ","$17,174,870 ",,PG-13
100 Girls,94,Comedy; Romance,Michael Davis,Michael Davis,Jonathan Tucker; Emmanuelle Chriqui; James DeBello,,5.8,"14,622",,,,R
Mission to Mars,114,Adventure; Drama; Sci-Fi,Brian De Palma,Lowell Cannon; Jim Thomas,Tim Robbins; Gary Sinise; Don Cheadle,34/100,5.4,"44,999","$90,000,000 ","$60,874,615 ","$45,125,385 ",PG
Where the Heart Is,120,Comedy; Drama; Romance,Matt Williams,Lowell Ganz; Babaloo Mandel,Natalie Portman; James Frain; Ashley Judd,30/100,6.5,"20,001","$15,000,000 ","$33,771,174 ",,PG-13
Battlefield Earth,118,Action; Sci-Fi,Roger Christian,Corey Mandell; J.D. Shapiro,John Travolta; Forest Whitaker; Barry Pepper,9/100,2.4,"51,194","$44,000,000 ","$21,471,685 ","$8,253,978 ",PG-13
Chopper,94,Biography; Comedy; Crime,Andrew Dominik,Mark Brandon Read; Andrew Dominik,Eric Bana; Simon Lyndon; David Field,65/100,7.1,"22,112",,"$234,259 ",,
Before Night Falls,133,Biography; Drama,Julian Schnabel,Cunningham O'Keefe; Lzaro Gmez Carriles,Javier Bardem; Johnny Depp; Olatz Lpez Garmendia,85/100,7.1,"15,811",,"$4,221,817 ",,R
Red Planet,106,Sci-Fi; Action; Thriller,,,,34/100,5.5,"34,091","$70,000,000 ","$17,480,890 ","$15,983,079 ",PG-13
Quills,124,Biography; Drama,Philip Kaufman,Doug Wright; Doug Wright,Geoffrey Rush; Kate Winslet; Joaquin Phoenix,70/100,7.3,"33,742","$13,500,000 ","$7,060,876 ",,R
Tigerland,101,Drama; War,Joel Schumacher,Ross Klavan; Michael McGruther,Colin Farrell; Matthew Davis; Clifton Collins Jr.,55/100,7,"25,474","$10,000,000 ","$139,500 ",,R
Proof of Life,135,Action; Adventure; Drama,Taylor Hackford,Tony Gilroy; William Prochnau,Meg Ryan; Russell Crowe; David Morse,45/100,6.1,"37,634","$65,000,000 ","$32,598,931 ",,R
Nine Queens,114,Crime; Drama; Thriller,Fabin Bielinsky,Fabin Bielinsky,Ricardo Darn; Gastn Pauls; Leticia Brdice,80/100,7.8,"21,816","$1,500,000 ","$1,221,261 ",,R
Rules of Engagement,128,Action; Drama; Thriller,William Friedkin,Jim Webb; Stephen Gaghan,Tommy Lee Jones; Samuel L. Jackson; Guy Pearce,45/100,6.2,"27,755","$60,000,000 ","$61,322,858 ",,R
Porno Film,80,Comedy,Damjan Kozole,Damjan Kozole,Matjaz Latin; Natalia Danilova; Primoz Petkovsek,,5.1,406,,,,
The Crimson Rivers,106,Crime; Mystery; Thriller,Mathieu Kassovitz,Jean-Christophe Grang; Jean-Christophe Grang,Jean Reno; Vincent Cassel; Nadia Fars,49/100,6.8,"33,414","FRF 95,000,000","$69,316 ",,R
Ginger Snaps,108,Drama; Horror,John Fawcett,Karen Walton; John Fawcett,Emily Perkins; Katharine Isabelle; Kris Lemche,70/100,6.7,"22,036","$5,000,000 ","$2,554 ",,
Bait,119,Action; Crime; Thriller,Antoine Fuqua,Andrew Scheinman; Adam Scheinman,Jamie Foxx; David Morse; Robert Pastorelli,39/100,5.6,"6,700","$35,000,000 ","$15,325,127 ",,R
Big Momma's House,98,Action; Comedy; Crime,Raja Gosnell,Darryl Quarles; Darryl Quarles,Martin Lawrence; Nia Long; Paul Giamatti,33/100,4.8,"43,720","$30,000,000 ","$117,559,438 ",,PG-13
Get Carter,102,Action; Crime; Drama,Stephen Kay,Ted Lewis; David McKenna,Sylvester Stallone; Rachael Leigh Cook; Miranda Richardson,24/100,4.8,"19,453","$40,000,000 ","$14,967,182 ","$4,445,811 ",R
The Skulls,106,Crime; Drama; Thriller,Rob Cohen,John Pogue,Joshua Jackson; Paul Walker; Hill Harper,24/100,5.3,"20,065","$15,000,000 ","$35,007,180 ",,PG-13
Loser,98,Comedy; Romance,Amy Heckerling,Amy Heckerling,Jason Biggs; Mena Suvari; Zak Orth,35/100,5.1,"17,705","$20,000,000 ","$15,464,026 ","$2,786,080 ",PG-13
Wonder Boys,107,Drama; Comedy,Curtis Hanson,Michael Chabon; Steve Kloves,Michael Douglas; Tobey Maguire; Frances McDormand,73/100,7.4,"43,854","$35,000,000 ","$19,389,454 ","$8,312,406 ",R
Rape Me,77,Crime; Drama; Thriller,Virginie Despentes,Virginie Despentes; Coralie,Raffala Anderson; Karen Lancaume; Cline Beugnot,35/100,4.4,"11,400",,"$5,793 ",,
The Lord of the Rings: The Fellowship of the Ring,178,Action; Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Orlando Bloom,92/100,8.8,"699,189","$93,000,000 ","$315,544,750 ","$871,530,324 ",PG-13
Harry Potter and the Sorcerer's Stone,152,Adventure; Family; Fantasy,Chris Columbus,J.K. Rowling; Steve Kloves,Daniel Radcliffe; Rupert Grint; Richard Harris,64/100,7.3,"261,700","$125,000,000 ","$317,557,891 ","$974,755,371 ",PG
"Monsters, Inc.",92,Animation; Adventure; Comedy,Pete Docter,Pete Docter; Jill Culton,Billy Crystal; John Goodman; Mary Gibbs,78/100,8,"278,381","$115,000,000 ","$289,587,423 ","$131,600,000 ",G
Donnie Darko,113,Drama; Mystery; Sci-Fi,Richard Kelly,Richard Kelly,Jake Gyllenhaal; Jena Malone; Mary McDonnell,71/100,8.1,"358,628","$4,500,000 ","$727,883 ",,R
A Beautiful Mind,135,Biography; Drama,Ron Howard,Akiva Goldsman; Sylvia Nasar,Russell Crowe; Ed Harris; Jennifer Connelly,72/100,8.1,"297,156","$60,000,000 ","$170,708,996 ",,PG-13
Spirited Away,125,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase; Suzanne Pleshette; Miyu Irino,94/100,8.6,"211,642","&#165;1,900,000,000","$10,049,886 ",,PG
Atlantis: The Lost Empire,95,Animation; Adventure; Family,Gary Trousdale,Tab Murphy; Kirk Wise,Michael J. Fox; Jim Varney; Corey Burton,52/100,6.5,"37,619","$90,000,000 ","$84,052,762 ","$101,997,253 ",PG
Legally Blonde,96,Comedy; Romance,Robert Luketic,Amanda Brown; Karen McCullah Lutz,Reese Witherspoon; Luke Wilson; Selma Blair,59/100,6.1,"76,342","$18,000,000 ","$95,001,351 ",,PG-13
A Knight's Tale,132,Action; Adventure; Drama,Brian Helgeland,Brian Helgeland,Heath Ledger; Mark Addy; Rufus Sewell,54/100,6.7,"89,071","$41,000,000 ","$56,083,966 ",,PG-13
The Fast and the Furious,106,Action; Crime; Thriller,Rob Cohen,Ken Li; Gary Scott Thompson,Vin Diesel; Paul Walker; Michelle Rodriguez,58/100,6.4,"146,696","$38,000,000 ","$144,533,925 ","$207,283,925 ",PG-13
Black Hawk Down,144,Drama; History; War,Ridley Scott,Mark Bowden; Ken Nolan,Josh Hartnett; Ewan McGregor; Tom Sizemore,74/100,7.7,"185,144","$92,000,000 ","$108,638,745 ",,R
Training Day,122,Crime; Drama; Thriller,Antoine Fuqua,David Ayer,Denzel Washington; Ethan Hawke; Scott Glenn,70/100,7.6,"182,425","$45,000,000 ","$76,261,036 ",,R
Ocean's Eleven,116,Crime; Thriller,Steven Soderbergh,George Clayton Johnson; Jack Golden Russell,George Clooney; Brad Pitt; Julia Roberts,74/100,7.7,"244,577","$85,000,000 ","$183,405,771 ","$184,000,000 ",PG-13
Shrek,90,Animation; Adventure; Comedy,Andrew Adamson,William Steig; Ted Elliott,Mike Myers; Eddie Murphy; Cameron Diaz,84/100,7.9,"285,835","$60,000,000 ","$267,652,016 ",,PG
Blow,124,Biography; Crime; Drama,Ted Demme,Bruce Porter; David McKenna,Johnny Depp; Penlope Cruz; Franka Potente,52/100,7.5,"128,864","$30,000,000 ","$52,937,130 ",,R
Amlie,122,Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant; Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,69/100,8.5,"315,367","FRF 77,000,000","$33,201,661 ",,R
Moulin Rouge!,127,Drama; Musical; Romance,Baz Luhrmann,Baz Luhrmann; Craig Pearce,Nicole Kidman; Ewan McGregor; John Leguizamo,66/100,7.6,"160,626","$52,500,000 ","$57,386,369 ","$179,213,434 ",PG-13
Pearl Harbor,183,Action; Drama; Romance,Michael Bay,Randall Wallace,Ben Affleck; Kate Beckinsale; Josh Hartnett,44/100,5.7,"162,837","$140,000,000 ","$198,539,855 ",,PG-13
Not Another Teen Movie,89,Comedy,Joel Gallen,Mike Bender; Adam Jay Epstein,Chyler Leigh; Jaime Pressly; Chris Evans,32/100,5.5,"57,312","$16,000,000 ","$37,882,551 ","$28,216,048 ",R
Lara Croft: Tomb Raider,100,Action; Adventure; Fantasy,Simon West,Sara B. Cooper; Mike Werb,Angelina Jolie; Jon Voight; Iain Glen,33/100,5.6,"100,973","$115,000,000 ","$131,144,183 ","$274,703,340 ",PG-13
Mulholland Dr.,147,Drama; Mystery; Thriller,David Lynch,David Lynch,Naomi Watts; Laura Harring; Justin Theroux,81/100,7.9,"160,937","$15,000,000 ","$7,219,578 ","$20,112,339 ",R
Hannibal,131,Crime; Drama; Thriller,Ridley Scott,Thomas Harris; David Mamet,Anthony Hopkins; Julianne Moore; Gary Oldman,57/100,6.6,"137,976","$87,000,000 ","$165,091,464 ","$351,692,268 ",R
Vanilla Sky,136,Mystery; Romance; Sci-Fi,Cameron Crowe,Alejandro Amenbar; Mateo Gil,Tom Cruise; Penlope Cruz; Cameron Diaz,45/100,6.8,"144,760","$68,000,000 ","$100,614,858 ","$203,388,341 ",R
Scary Movie 2,83,Comedy,Keenen Ivory Wayans,Shawn Wayans; Marlon Wayans,Anna Faris; Marlon Wayans; Anthony Acker,29/100,5,"78,186","$45,000,000 ","$71,277,420 ","$141,220,678 ",R
Zoolander,89,Comedy,Ben Stiller,Drake Sather; Ben Stiller,Ben Stiller; Owen Wilson; Christine Taylor,61/100,6.5,"121,495","$28,000,000 ","$45,162,741 ","$60,780,981 ",PG-13
Super Troopers,100,Comedy; Crime; Mystery,Jay Chandrasekhar,Jay Chandrasekhar; Kevin Heffernan,Jay Chandrasekhar; Kevin Heffernan; Andr Vippolis,48/100,6.9,"50,504","$3,000,000 ","$18,488,314 ",,R
Jay and Silent Bob Strike Back,104,Comedy,Kevin Smith,Kevin Smith; Kevin Smith,Jason Mewes; Kevin Smith; Ben Affleck,51/100,6.8,"95,725","$22,000,000 ","$30,059,386 ",,R
